Name of the table,Variable,Description
adserver_conversions,,"This data source includes all conversion events measured by Amazon Ad Server conversion activity tags. Use this data source to gain insights about conversions captured by ad server conversion activity tags and for custom attribution insights for ad server captured conversions. You can query this data source only if you have ad server campaigns and have completed ad server AMC onboarding. Please contact your AdTech Account Executive or your customer success manager to learn more about enabling ad server advertiser data in AMC. If you do not run campaigns through the ad server, this data source will not return any results when queried. To learn more about this data source, download the documentation from the ‘Documentation’ tab and view the Excel file or search the Instructional Query Library for Amazon Ad Server."
adserver_conversions,account_currency,
adserver_conversions,account_timezone,
adserver_conversions,advertiser,
adserver_conversions,advertiser_id,
adserver_conversions,browser_family,
adserver_conversions,city,
adserver_conversions,conversion_activity,
adserver_conversions,conversion_activity_id,
adserver_conversions,conversion_currency,
adserver_conversions,conversion_id,
adserver_conversions,conversion_type,
adserver_conversions,conversions,
adserver_conversions,device_brand,
adserver_conversions,device_model,
adserver_conversions,device_type,
adserver_conversions,dma_code,
adserver_conversions,environment,
adserver_conversions,event_date,
adserver_conversions,event_date_utc,
adserver_conversions,event_day,
adserver_conversions,event_day_utc,
adserver_conversions,event_dt,
adserver_conversions,event_dt_hour,
adserver_conversions,event_dt_hour_utc,
adserver_conversions,event_dt_utc,
adserver_conversions,event_hour,
adserver_conversions,event_hour_utc,
adserver_conversions,iso_country_code,
adserver_conversions,iso_state_province_code,
adserver_conversions,operating_system,
adserver_conversions,order_id,
adserver_conversions,postal_code,
adserver_conversions,product_id,
adserver_conversions,product_info,
adserver_conversions,quantity,
adserver_conversions,referrer,
adserver_conversions,revenue,
adserver_conversions,tag_manager,
adserver_conversions,tag_manager_id,
adserver_conversions,user_id,
adserver_conversions,user_id_type,
adserver_conversions,vertical,
adserver_conversions_with_brands,,"This data source includes conversion activity events associated to specific brands and measured by Amazon Ad Server. It only includes conversion events measured by the ad server where the conversion activity tag had an assignment to specific brand(s) in the activity settings. Use this data source to gain insights about ad server conversion activities associated with specific brand(s). You can query this data source only if you have ad server campaigns and have completed ad server AMC onboarding. Please contact your AdTech Account Executive or your customer success manager to learn more about enabling ad server advertiser data in AMC. If you do not run campaigns through the ad server, this data source will not return any results when queried. To learn more about this data source, download the documentation from the ‘Documentation’ tab and view the Excel file or search the Instructional Query Library for Amazon Ad Server."
adserver_conversions_with_brands,account_currency,
adserver_conversions_with_brands,account_timezone,
adserver_conversions_with_brands,adserver_brand,
adserver_conversions_with_brands,adserver_brand_id,
adserver_conversions_with_brands,advertiser,
adserver_conversions_with_brands,advertiser_id,
adserver_conversions_with_brands,browser_family,
adserver_conversions_with_brands,city,
adserver_conversions_with_brands,conversion_activity,
adserver_conversions_with_brands,conversion_activity_id,
adserver_conversions_with_brands,conversion_currency,
adserver_conversions_with_brands,conversion_id,
adserver_conversions_with_brands,conversion_type,
adserver_conversions_with_brands,device_brand,
adserver_conversions_with_brands,device_model,
adserver_conversions_with_brands,device_type,
adserver_conversions_with_brands,dma_code,
adserver_conversions_with_brands,environment,
adserver_conversions_with_brands,event_date,
adserver_conversions_with_brands,event_date_utc,
adserver_conversions_with_brands,event_day,
adserver_conversions_with_brands,event_day_utc,
adserver_conversions_with_brands,event_dt,
adserver_conversions_with_brands,event_dt_hour,
adserver_conversions_with_brands,event_dt_hour_utc,
adserver_conversions_with_brands,event_dt_utc,
adserver_conversions_with_brands,event_hour,
adserver_conversions_with_brands,event_hour_utc,
adserver_conversions_with_brands,iso_country_code,
adserver_conversions_with_brands,iso_state_province_code,
adserver_conversions_with_brands,operating_system,
adserver_conversions_with_brands,order_id,
adserver_conversions_with_brands,postal_code,
adserver_conversions_with_brands,product_id,
adserver_conversions_with_brands,product_info,
adserver_conversions_with_brands,quantity,
adserver_conversions_with_brands,referrer,
adserver_conversions_with_brands,revenue,
adserver_conversions_with_brands,tag_manager,
adserver_conversions_with_brands,tag_manager_id,
adserver_conversions_with_brands,user_id,
adserver_conversions_with_brands,user_id_type,
adserver_conversions_with_brands,vertical,
